track,artist,genre,valence_tags,arousal_tags
ChinaWhite StarTrek,Neo-Rista,noise,5.851315789473684,4.518947368421053
Are You Satisfied (Funka Nova),Rah Band,groove,1.825,1.8
Daniel (Cenzo Townshend Radio Edit),Bat for Lashes,indie,6.122673267326732,6.175940594059406
Tallriksis,Letum,dark ambient,3.235,0.975
One of a Kind,Nocturnal,,5.29,3.48
Наваждение,Гражданская оборона,rock,2.52,5.05
Great Divide,Hanson,pop,6.459999999999999,5.41
Denise,Fountains of Wayne,power pop,8.002758620689654,5.901034482758621
Niedola,matryoshka,post-rock,3.928571428571429,1.8542857142857143
The Theme (Radio Edit),Jurgen Vries,electronic,6.1015254237288135,4.381779661016949
Big Chance,Bee Gees,classic rock,8.0,5.76
Fraß der Flammen: I Póli,Bann,black metal,5.509999999999999,4.7250000000000005
The Model,Belle and Sebastian,indie,7.049333333333334,4.414
Stories From Around The World,DJ Rap,drum and bass,6.7925,5.0975
McKlaren [Trentemøller Remix],Klovner i Kamp,,3.05,3.05
One Down,Ben Folds,rock,7.25,5.65
"Careful With The Aks, Peter - Part I",Pete Namlook & Klaus Schulze,electronic,2.8566666666666665,1.655
Chidananda,Deva Premal,mantra,3.8042857142857143,2.610793650793651
Young Dumb n' Full of Cum,Whale,alternative,5.83,7.27
Driftin',The Dirty Heads,chill,5.412,3.152
Vomit,Girls,indie,6.3525,4.1313281250000005
Alas My Love (Poem) (Jesus Freak Album Vesrion),DC Talk,spoken word,6.97,2.68
Langebro,Gasolin',pop,3.12,2.0133333333333336
Shades of Scarlett Conquering,Joni Mitchell,folk,5.820000000000001,4.820000000000001
Samson,Regina Spektor,piano,6.03203125,4.02625
Dealer,Scott Walker,avant-garde,5.455,5.155
The River,Van Risseghem,indie,6.236666666666666,3.973333333333333
Cover of Night,Steve Reynolds,folk,7.25,2.49
def beats 1,German Cars Vs American Homes,,2.92,3.68
U Let Me Grow,eMC,hip-hop,3.1499999999999995,3.32
Invidia,Lesiëm,new age,5.377037037037037,3.3622222222222224
Wenn Ich Gross Bin,Sportfreunde Stiller,,5.42,4.39
Clipping,Mutemath,electronic,5.303333333333334,4.6
Life Without A Brain,The Rentals,indie,6.295,5.09
Closer,Nine Inch Nails,industrial,6.443333333333333,6.164666666666667
Arpeggiated Love,The Field,electronic,7.166666666666667,4.163333333333334
Against Privacy,Cold War Kids,indie rock,5.6866666666666665,4.556666666666668
Plain Division,The Jim Carroll Band,classic rock,2.513333333333333,3.3233333333333333
Take the Box,Amy Winehouse,soul,4.778020833333334,3.876041666666666
Ganja Babe (Alternative),Michael Franti,reggae,6.130782608695653,3.803826086956521
Helen,Nizlopi,indie,7.077500000000001,4.467499999999999
Melanie,Donna Summer,pop,6.21,5.935
Head In My Hands,Birds of Tokyo,alternative,6.659999999999999,4.223333333333333
Reprise,Mew,indie,7.305714285714285,4.432857142857143
Kon-Tiki,Bobby Montez,jazz,5.55,4.29
I Hope/I Grow,"Rob ""Bobby Birdman"" Kieswetter",,3.0,4.61
Siberian Doll House,Gabriela Robin,,3.8,6.2
The River of Dreams,Billy Joel,pop,7.227560975609756,4.934878048780488
