,track,artist,genre,valence_tags,arousal_tags,lyrics
2,Daniel (Cenzo Townshend Radio Edit),Bat for Lashes,indie,6.122673267326733,6.175940594059407,"Daniel when I first saw you I knew that you had a flame in your heart And under wild blue skies Marble movie skies I found a home in your eyes We'll never be apart And when the fires came The smell of cinders and rain Perfumed almost everything We laughed and laughed and laughed And in the golden blue Car you took me to The darkest place you knew And set fire to my heart When I run in the dark, Daniel To a place that's lost Daniel Under a sheet of rain in my heart Daniel I dream of home But in a goodbye bed With my arms around your neck Into our mouths the tears crept Just kids in the eye of the storm And as my house spun round My dreams pulled me from the ground Forever to search for the flame For home again For home again When I run in the dark, Daniel To a place that's lost Daniel Under a sheet of rain in my heart Daniel I dream of home When I run in the dark, Daniel To a place that's lost Daniel Under a sheet of rain in my heart Daniel I dream of home"
6,Great Divide,Hanson,pop,6.459999999999999,5.41,"The earth is shaking under seige Every breath will meet its fate Still we hunger for our moment of freedom Even though the hour's late Oh, yeah I find hope and it gives me rest I find hope in a beating chest I find hope in what eyes don't see I find hope in your hate for me Have no fear when waters rise We can conquer this great divide This great divide When every eye is on the fortune Well, it can only breed contempt They say blood is thicker than oceans Still we box our brothers in Oh, yeah I find hope and it gives me rest I find hope in a beating chest I find hope in what eyes don't see I find hope in your hate for me Have no fear when waters rise We can conquer this great divide Whoa oh oh oh whoa Whoa oh oh oh no Said, whoa oh oh oh whoa And we're gone And we're gone, yeah, yeah And we're holding on And we're holding on And we're holding on, woah I find hope and it gives me rest I find hope in a beating chest I find hope in what eyes don't see I find hope in your hate for me Have no fear when, have no fear Have no fear, whoa Have no fear when waters rise We can conquer this great divide This great divide Whoa oh oh oh whoa Say, whoa oh oh oh whoa Whoa oh oh oh whoa, yeah Whoa oh oh oh woah Sing, whoa ho ho"
7,Denise,Fountains of Wayne,power pop,8.002758620689653,5.901034482758621,I know this girl named Denise She makes me weak at the knees She drives a lavender Lexus She lives in Queens But her dad lives in Texas When she holds me I can't help myself Won't you tell me Do you love me Denise? Do you love me Denise? Oh baby tell me please I heard she used to be married She listens to Puff Daddy She works at Liberty Travel She has a heart made of gravel She controls me She can't help herself Won't you tell me Do you love me Denise? Do you love me Denise? Oh baby tell me please
10,Big Chance,Bee Gees,classic rock,8.0,5.76,"People in their pride believe it's easier for them to leave Their problems in the arms of others , running to their mothers Lasting love is such a funny thing When you're in love you're on the wings You're not in love, it's good for you 'cause you can do the things you want to do It's you big chance , to take it baby It's you big chance , you'll make it baby When you're high and mighty you'll remember how I loved you You'll be thinkin' how you hurt me when I needed you beside me In the night is such a lonely time I dream of you and that's a sign It means that I am still a fool And I am still so much in love with you It's your big chance, so take it baby It's your big chance, don't fake it baby Big chance Hot chance"
12,The Model,Belle and Sebastian,indie,7.049333333333334,4.414,"I will confess to you Because you made me think about the times You turn the picture on to me and I'll turn over The vision was a masterpiece of comic timing But you wouldn't laugh at all And I wonder what the boy was thinking The picture was an old collage of something classical The model with a tragic air Because without a doubt he'd given up the fight The ghost of somebody at his side I will confess to you Because I didn't think about the message As I walked down the alleyway it was a Sunday All my friends deserted me because you painted me As the fraud I really was And if you think you see with just your eyes you're mad Lisa learned a lot from putting on a blindfold When she knew she had been bad She met another blind kid at a fancy dress It was the best sex that she ever had I'll send a dress to you Because it's needing badly taken in I was so embarrassed when I missed your party It was me that paid for it eventually Cause you know how much I wanted To meet your friend the star of stage and local press The dream of all the bowlie kids that hang around here I'm no different from the rest I'm not too proud to say that I'm okay With the girl next door who's famous for showing her chest You're not impressed by me But it's a funny way for you to tell me A whisper in a choir stall The man was talking about you simultaneously Frankly, I let my heavy eyelids flutter Because I have been sleeping badly lately I know you were historical from all the books I've read But I thought you could be bluffing And with this chance I've missed I feel remiss It's days and months before I see you again"
15,One Down,Ben Folds,rock,7.25,5.65," I woke up and I drove to work On the wrong side of the road And what the hell would I do I must admit, I didn't know And Andrew came along y'all To add a couple lines or so I've got one I finished yesterday And I got three-point-six to go  One down And three-point-six Tomorrow And I'm outta here One down And three-point-six Tomorrow And I'm out of here  People tell me Ben, just make up junk and turn it in But I never was alright with turning in A bunch of shit I don't like wasting time On music that won't make me proud But now I've found a reason To sit right down and shit some out  I love you more than Any man has loved before I love you more than All the stars up in the sky I think that we should Settle down and live happily forever... After What do you think of that?  I'm really not complaining I realise it's just a job And I hate hearing belly-aching rock stars Whine and sob Cause I could be busing tables I could well be pumping gas Yeah, but I get paid much finer For playing piano and kissing ass This is one I wrote just an hour ago And three-point-six at last "
19,Driftin',The Dirty Heads,chill,5.412000000000001,3.1519999999999997," Well I've been driftin' liftin' my mind with these spliffs and Realizing just what I'm missin' There's so much more then just regrets 'Cause if you can't love yourself, how can you love the next? Yo, well me and Dirty, we been kickin' it since old school We had this dream to rock, and we'd be so cool And I remember just chillin' out in my back yard Sipping on some 40s, writing songs, laughing so hard It always seemed like such a dream to me It always seemed like it was so far from reality But deep inside I always knew that this would be my path And if I ever got a chance yo, I would make it last But I've been  Driftin' so long, from myself and from the pain Driftin' so long, I think I found better way (I found a better way and now I strive for better days)  I feel like I've been changing And I don't like just what I see I feel like I'm the victim And my own worst enemy Well I've been driftin', missin' The times we didn't listen To no one but ourselves because we knew we're on a mission No one ever thought it'd happen For two of the boys to get paid for rapping I got people looking after me, the way I go, the path I lead Some say it's not a job but we practice like an athlete I'm constantly driftin' and I've finally found what I need It's passing me in forms of speech every time I pass the beach  Driftin' so long, from myself and from the pain Driftin' so long, I think I found better way (I found a better way and now I strive for better days)  Well, I lost my path but I found my way We can all learn from our own mistakes Sometimes I'm wrong, but I learn that way But we won't ever know until we stop  Driftin' so long, from myself and from the pain Driftin' so long, I think I found better way I've been driftin' I've been driftin' I'vebeen driftin' I've been away"
20,Vomit,Girls,indie,6.3525,4.1313281250000005," Nights I spend alone I spend 'em running 'round looking for you, baby Nights I spend alone I spend 'em running 'round looking for you, baby  Looking for love Looking for love Looking for love Looking for love  Nights I spend alone I spend 'em running 'round looking for you, baby Nights I spend alone I spend 'em running 'round and 'round and 'round and 'round And 'round and 'round and 'round and 'round And down and down and down and down and down  Nights I spend alone I spend 'em running 'round looking for you, baby Nights I spend alone I spend 'em running 'round looking for you, baby Looking for love Looking for love Looking for love Looking for love  'Cause there's something that I get from myself And there's something that you give to me Well, I got one Without the other, well, it's not enough to be I need your love  Come into my heart Come into my heart Come into my heart My love Come into my heart Come into my heart Come into my heart My love Come into my heart Come into my heart Come into my heart (come into my heart) My love"
22,Langebro,Gasolin',pop,3.12,2.0133333333333336," Da jeg gik ud over Langebro En tidlig mandag morgen Der så jeg en, der stod og græd Hvis du tør, så kom med mig  Jeg gik forbi dæmonernes port Ud for Kofoed Skole Der stod en flok og drak sig ihjel Hvis du tør, så kom med mig  Jeg mødte en, der gik rundt med ""Vågn Op"" Hun var Jehovas vidne Hun råbte: ""Jorden går under i dag"" Hvis du tør, ja-ja, så kom med mig Ja, kom med mig, oh yeah   Jeg så en kvinde, der løb efter sin mand Hun havde så skønne øjne Hun råbte: ""Hey, du har stjålet mit liv"", yeah Hvis du tør, så kom med mig Hvis du tør, så kom med mig Hvis du tør, så kom med mig"
23,Shades of Scarlett Conquering,Joni Mitchell,folk,5.820000000000001,4.820000000000001," Out of the fire like Catholic saints Comes Scarlett and her deep complaint Mimicking tenderness she sees In sentimental movies  A celluloid rider comes to town Cinematic lovers sway Plantations and sweeping ballroom gowns Take her breath away  Out in the wind in crinolines Chasing the ghosts of Gable and Flynn Through stand-in boys and extra players Magnolias hopeful in her auburn hair  She comes from a school of southern charm She likes to have things her way Any man in the world holding out his arm Would soon be made to pay  Friends have told her not so proud Neighbors trying to sleep and yelling ""not so loud"" Lovers in anger ""block of ice"" Harder and harder just to be nice Given in the night to dark dreams From the dark things she feels She covers her eyes in the X-Rated scenes Running from the reels  Beauty and madness to be praised 'Cause it is not easy to be brave To walk around in so much need To carry the weight of all that greed  Dressed in stolen clothes she stands Cast iron and frail With her impossibly gentle hands And her blood-red fingernails  Out of the fire and still smoldering She says ""A woman must have everything"" Shades of Scarlett conquering She says ""A woman must have everything"""
24,Samson,Regina Spektor,piano,6.03203125,4.02625," You are my sweetest downfall I loved you first, I loved you first Beneath the sheets of paper lies my truth I have to go, I have to go Your hair was long when we first met  Samson went back to bed Not much hair left on his head He ate a slice of Wonder bread, and went right back to bed And history books forgot about us and the Bible didn't mention us And the Bible didn't mention us, not even once  You are my sweetest downfall I loved you first, I loved you first Beneath the stars came falling on our heads But they're just old light, they're just old light Your hair was long when we first met  Samson came to my bed Told me that my hair was red Told me I was beautiful, and came into my bed Oh, I cut his hair myself one night A pair of dull scissors in the yellow light And he told me that I'd done alright And kissed me 'til the morning light, the morning light And he kissed me 'til the morning light Samson went back to bed Not much hair left on his head He ate a slice of Wonder bread, and went right back to bed Oh, we couldn't bring the columns down Yeah, we couldn't destroy a single one And history books forgot about us And the Bible didn't mention us, not even once  You are my sweetest downfall I loved you first"
