,track,artist,genre,valence_tags,arousal_tags,lyrics
1,Push Your Tush,Jessica Simpson,pop,6.216666666666667,5.6466666666666665," Come and get it! Woo! Do ya hear that cow bell? Cock-a, cock-a, cock-a-doodle-doo! Come and get some grub  Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here  Party It's what us farm girls like to do Sippin' on cold lemonade Eatin' up all my favorite food Y'all grab a partner And just say ""Howdy do"" (Well fine, thank you) Let me show you somethin' new All these farm boys, you wanna  see something slick? Girls, twirl your hips like a joystick Gotta do the 'round house, but don't move it too quick You wanna impress a hick? Then make it go tick, tick, tick, tick, tick  Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here  All these farm boys, you wanna see something slick? Girls, twirl your hips like a joystick Gotta do the 'round house, but don't move it too quick You wanna impress a hick? Then make it go tick, tick, tick, tick, tick (Come on!)  Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here Hands on your hips, roll on your backside Tick, tick, tick, tick, tick, tick Then push your tush Come on, push your tush now Gyratin', movin' it clockwise Tick, tick, tick, tick, tick, tick Then push your tush Come on, push your tush now (Push your tush)  Hootenanny, y'all! Yeehaw! Woo! Take it to the barnyard Fiddles Banjos Yeehaw! C'mon! Woo! We've all gone wild! Us country folk! Hey you over there, get your ass out the chair And tick, tick, tick, with me Tick, tick, tick, tick, tick (Come on) Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here Baby, it's a hoedown We can get low down 'round here Take it to the floor now We can get a throw down 'round here Cowgirls, cowboys, make noise 'Round here This is honky tonk, baby Go on, get crazy 'round here  Hands on your hips, roll on your backside Tick, tick, tick, tick, tick, tick Then push your tush Come on, push your tush now Gyratin', movin' it clockwise Tick, tick, tick, tick, tick, tick Then push your tush Come on, push your tush now (Push your tush) Push your tush Push your tush Tick, tick, tick, tick, tick, tick Push your tush Honky tonk! Push your tush"
2,Vanilla Twilight,Owl City,electronic,7.125471698113207,4.769622641509434," The stars lean down to kiss you And I lie awake and miss you Pour me a heavy dose of atmosphere 'Cause I'll doze off safe and soundly But I'll miss your arms around me I'd send a postcard to you, dear 'Cause I wish you were here  I'll watch the night turn light blue But it's not the same without you Because it takes two to whisper quietly The silence isn't so bad 'Til I look at my hands and feel sad 'Cause the spaces between my fingers Are right where yours fit perfectly I'll find repose in new ways Though I haven't slept in two days 'Cause cold nostalgia chills me to the bone But drenched in vanilla twilight I'll sit on the front porch all night Waist-deep in thought because when I think of you I don't feel so alone  I don't feel so alone I don't feel so alone As many times as I blink, I'll think of you Tonight (Tonight, tonight, tonight) I'll think of you tonight When violet eyes get brighter And heavy wings grow lighter I'll taste the sky and feel alive again And I'll forget the world that I knew But I swear I won't forget you Oh, if my voice could reach back through the past I'd whisper in your ear ""Oh darling, I wish you were here"" "
5,Outkast,P.O.D.,hard rock,3.025,2.725," I'm an outcast But don't count me out I'm an outcast But don't count me out I'm an outcast But don't count me out I'm an outcast But don't count me out I'm an outcast But don't count me out I'm an outcast But don't count me out  I'm an outkast But don't count me out I'm an outkast But don't count me out  Underground dwellers, roaming beneath the cellars Failed us with this system, ain't living how they tell us Hideaway place, it's safe, they raise a nation of hate Erase a man for his faith They feed us lies, dress up my King in false disguise Behind those eyes, soul of a savior I recognize No compromise, while the whole world becomes corrupt Tonight we break the surface for lives, We coming up Brother take my hand Let's separate ourselves Leave behind this place Don't ever look back Brother take my hand Let's separate ourselves Leave behind this place Don't ever look back  Disgraced man, survivors of the wasteland Looking for a home of his own No place to run, no place to hide It's time for you to stand on your own Militia, coalition, not of this world Resistance, we the alliance We freedom fighters, its honor we defend We follow truth and never your trends  Brother take my hand Let's separate ourselves Leave behind this place Don't ever look back Brother take my hand Let's separate ourselves Leave behind this place Don't ever look back Outcast Don't ever count me out I'm an outcast Never count me out I'm an outcast Don't ever count me out I'm an outcast Never count me out I'm an outcast So don't count me out!!!  Outcast, I'm an outcast So don't count me out Outcast, I'm an outcast So don't count me out  Brace yourself like a man Brace yourself like a man Brace yourself like a man Outcast! Brace yourself like a man Brace yourself like a man Brace yourself like a man So don't count me out Brace yourself like a man Brace yourself like a man Brace yourself like a man Outcast! Brace yourself like a man Brace yourself like a man Brace yourself like a man So don't count me out"
8,Ruby Magic,Portugal. The Man,experimental,3.652857142857143,2.8057142857142856," Someday we will find a home (I found the way out but if I told you you would be down) Someday we will find a lonely lonely home Where we will pass time where we will bring change Where we will bring change change change change Lips likely loose and pouring out film lines Lips likely loose and pouring out film lines Lips likely loose and A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move  So children come in Find a seat we made your room So children come in Find a seat we made you are sure to use  Lengths of snakes match each silent syllable With eyes like these Hello you missed the sparrow's mark A breath of rockets shone like torches A breath of rockets shone like torches Boss we got a problem the people will not listen Their ears are full of cranks bells pully's wheels and bolts Automated fiction with film on the eyes And the doctors claim they will never form you'll never see again So children come in Find a seat we made your room So children come in Find a seat we made you are sure to use  Lengths of snakes match each silent syllable With eyes like these Hello? You missed the sparrow's mark A breath of rockets shone like torches (I found the way out) A breath of rockets shone like torches Hello? Hello? (The way out, the way out) Lengths of snakes match each silent syllable (I found the way out) With eyes like these (I found the way out) Hello? Hello? (The way out, the way out) A breath of rockets shone like torches A breath of rockets shone like torches (I found the way out The way out) A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move A roaring flow abounds a warmth and joy that holds you Open and apart in steps that never move"
9,The Day the World Went Away (Quiet),Nine Inch Nails,industrial,3.2833333333333337,2.7133333333333334,"Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah Na na na nah Na na na na, nah I'd listen to the words he'd say But in his voice I heard decay The plastic face forced to portray All the insides left cold and gray There is a place that still remains It eats the fear, it eats the pain The sweetest price he'll have to pay The day the whole world went away Na na nah Na na nah Na na nah"
10,Uncle Bernie's Farm,Frank Zappa,progressive rock,4.24,5.19,"I'm dreaming . . . (Oh no-o-o!) There's a bomb to blow your mommy up A bomb for your daddy too (Ouch) A baby doll that burps & pees A case of airplane glue A hungry plastic troll To scarf your buddy's arm A box of ugly plastic things marked: Uncle Bernie's Farm! There's a little plastic congress There's a nation you can buy (I'll take two) There's a doll that looks like mommy She'll do anything but cry (I seen her) There's a doll that looks like daddy He's a funny little man Push a button & ask for money There's a dollar in his hand (Check his wallet) We gotta send Santa Claus back to the Rescue Mission Christmas don't make it no more Don't you know that murder & destruction Scream the toys in every store (Think this'll sell in New York?) There's a man who runs the country There's a man who tried to think And they're all made out of plastic When they melt they start to stink There's a book with smiling children Nearly dead with Christmas joy! And smiling in his office Is the creep who makes the toys . .  FZ:We got this car: when it hits the wall you see the guy dying . . . you got the little plastic puddles of blood that you put up on the car I'M DREAMING . .  Ray: And his intestines . . . you have plastic intestines you can stuff back into his stomach . .  FZ:There's this other thing, I've got bombs. I've got rockets, I've got a . . . I've got a stilson wrench & plastic brass knuckles . .  Ray: And it comes with a tape recorder with sound effects . . . screaming and crying FZ:We got a '39 Chevy . . "
11,Autumn in New York,Jo Stafford,jazz,6.636666666666667,3.2700000000000005,"Autumn in new york Why does it seem so inviting Autumn in new york It spells the thrill of first-nighting Glittering crowds and shimmering clouds In canyons of steel Theyre making me feel - Im home Its autumn in new york That brings the promise of new love Autumn in new york Is often mingled with pain Dreamers with empty hands They sigh for exotic lands Its autumn in new york Its good to live it again  Autumn in new york The gleaming rooftops at sundown Oh, autumn in new york It lifts you up when you run down Yes, jaded rou‚s and gay divorc‚es Who lunch at the ritz Will tell you that its divine This autumn in new york Transforms the slums into mayfair Oh, autumn in new york Youll need no castles in spain Yes, lovers that bless the dark On the benches in central park Greet autumn in new york Its good to live it again   Autumn in new york That brings the promise of new love Autumn in new york Is often mingled with pain Dreamers with empty hands They sigh for exotic lands Its autumn in new york Its good to live it again"
13,Big Day Coming,Yo La Tengo,alternative,3.525,0.955,"Let's be undecided Let's take our time And sooner or later We will know our mind We'll be on the outside We won't care Cause we're together That's somewhere And there's a big day coming About a mile away There's a big day coming I can hardly wait Let's wake up the neighbors Let's turn up our amps The way that we used to Without a plan We can play a Stones song Sitting on a fence And it'll sound pretty good 'Til I forget how it ends And there's a big day coming About a mile away There's a big day coming I can hardly wait I woke up early Couldn't go back to sleep Cause I'd been thinking Of where it all would lead So I made you wake up Said ""let's take a walk"" I want to hold your hand We don't have to talk And there's a big day coming About a mile away There's a big day coming And I can hardly wait I can hardly wait"
18,Heartfelt,Figurine,electronic,5.715000000000001,3.4925,"You told me you loved me But it never really felt that way Just another game you played It always seemed to make me stay You said you adored me But you never looked me in the eyes You called me on the lonley nights Tossed me roses and turned out the lights Do you have a heart? You seem so artificial It tears me apart The way you seem the world to me You know you're no work of art Still you manage to get to me But don't even start To tell me things that you don't mean ""Love"", love is just a word A used up tone Unless it's heartfelt ""Love"", love is just a noun An empty sound Unless it's heartfelt ............. you just told me ................... At least your kisses do not sting As much as all the words that you don't mean Maybe you should just leave me I've shed so many tears for you I've wasted all these years on you I was always so sincere with you Do you have a heart? You seem so artificial It tears me apart The way you seem the world to me You know you're no work of art Still you manage to get to me But don't even start To tell me things that you don't mean ""Love"", love is just a word A used up tone Unless it's heartfelt ""Love"", love is just a noun An empty sound Unless it's heartfelt Love, love is still around It can be found It can be heartfelt Love, love is more than word When it's meant to be heard Love can make you heartfelt"
19,Kaze ni Naru,Ayano Tsuji,anime,6.585,4.447500000000001, 忘れていた目を閉じて　取り戻せ　恋のうた 青空に隠れている　手を伸ばしてもう一度 忘れないで　すぐそばに僕がいる　いつの日も 星空を眺めている　一人きりの夜明けも たった一つの心　悲しみに暮れないで 君のためいきなんて　春風に変えてやる 陽のあたる坂道を　自転車で駆けのぼる 君と失くした想い出乗せて行くよ ラララララ　口ずさむ　くちびるを染めて行く 君と見つけた幸せ 花のように 忘れていた窓開けて　走り出せ恋のうた 青空に託している　手をかざしてもう一度 忘れないよ　すぐそばに君がいる　いつの日も 星空に輝いてる　涙揺れる明日も たった一つの言葉　この胸に抱きしめて 君のため僕は今　春風に吹かれてる 陽のあたる坂道を　自転車で駆けのぼる 君と誓った約束乗せて行くよ ラララララ　口ずさむ　くちびるを染めて行く 君と出会えた幸せ祈るように 陽のあたる坂道を　自転車で駆けのぼる 君と誓った約束乗せて行くよ ラララララ　口ずさむ　くちびるを染めて行く 君と出会えた幸せ祈るように 君と出会えた幸せ祈るように
